task_id,attempt_number,run_id,start_time,end_time,verifier_outcome,reward,scoreable,classification,retry_of,trace_path,incident_ref,notes
adaptive-rejection-sampler,1,adaptive-rejection-sampler__fYPnj7Z,2026-08-26T10:06:17.764068Z,2026-08-26T10:52:58.982932Z,completed,1.0,True,pass,,traces/adaptive-rejection-sampler__fYPnj7Z,,
adaptive-rejection-sampler,2,adaptive-rejection-sampler__GA9Nqni,2026-08-28T06:17:05.153894Z,2026-08-28T06:57:40.487230Z,completed,1.0,True,pass,adaptive-rejection-sampler__fYPnj7Z,traces/adaptive-rejection-sampler__GA9Nqni,,
bn-fit-modify,1,bn-fit-modify__3893XDc,2026-08-27T14:25:54.137622Z,2026-08-27T14:40:57.562679Z,completed,1.0,True,pass,,traces/bn-fit-modify__3893XDc,,
bn-fit-modify,2,bn-fit-modify__cc9zBgg,2026-08-29T11:42:30.588035Z,2026-08-29T11:56:21.319007Z,completed,1.0,True,pass,bn-fit-modify__3893XDc,traces/bn-fit-modify__cc9zBgg,,
break-filter-js-from-html,1,break-filter-js-from-html__cTGR5bQ,2026-08-27T03:18:55.347960Z,2026-08-27T03:32:26.485267Z,completed,1.0,True,pass,,traces/break-filter-js-from-html__cTGR5bQ,,
break-filter-js-from-html,2,break-filter-js-from-html__5Pzz2b8,2026-08-29T01:53:54.500040Z,2026-08-29T02:02:21.664985Z,completed,1.0,True,pass,break-filter-js-from-html__cTGR5bQ,traces/break-filter-js-from-html__5Pzz2b8,,
build-cython-ext,1,build-cython-ext__U9tL2ce,2026-08-26T12:26:25.322401Z,2026-08-26T12:46:44.221969Z,completed,1.0,True,pass,,traces/build-cython-ext__U9tL2ce,,
build-cython-ext,2,build-cython-ext__SMcHmxt,2026-08-28T08:19:23.683228Z,2026-08-28T08:38:37.942150Z,completed,1.0,True,pass,build-cython-ext__U9tL2ce,traces/build-cython-ext__SMcHmxt,,
build-pmars,1,build-pmars__nEBzqm3,2026-08-27T12:27:42.772385Z,2026-08-27T12:33:01.077163Z,completed,1.0,True,pass,,traces/build-pmars__nEBzqm3,,
build-pmars,2,build-pmars__hb39F68,2026-08-29T09:29:47.134424Z,2026-08-29T09:41:28.027838Z,completed,1.0,True,pass,build-pmars__nEBzqm3,traces/build-pmars__hb39F68,,
build-pov-ray,1,build-pov-ray__pGrauqj,2026-08-26T06:11:43.593291Z,2026-08-26T06:35:03.125028Z,completed,1.0,True,pass,,traces/build-pov-ray__pGrauqj,,
build-pov-ray,2,build-pov-ray__zFRG56p,2026-08-28T02:52:31.604176Z,2026-08-28T03:18:07.592824Z,completed,1.0,True,pass,build-pov-ray__pGrauqj,traces/build-pov-ray__zFRG56p,,
caffe-cifar-10,1,caffe-cifar-10__vGFJVaJ,2026-08-26T02:56:46.337841Z,2026-08-26T03:52:21.813181Z,completed,1.0,True,pass,,traces/caffe-cifar-10__vGFJVaJ,,
caffe-cifar-10,2,caffe-cifar-10__ghKe4vY,2026-08-27T23:15:46.397892Z,2026-08-28T00:05:41.295181Z,completed,1.0,True,pass,caffe-cifar-10__vGFJVaJ,traces/caffe-cifar-10__ghKe4vY,,
cancel-async-tasks,1,cancel-async-tasks__DU89yx3,2026-08-26T23:10:18.684535Z,2026-08-26T23:29:59.061205Z,completed,1.0,True,pass,,traces/cancel-async-tasks__DU89yx3,,
cancel-async-tasks,2,cancel-async-tasks__WdVfKdX,2026-08-28T19:37:00.563271Z,2026-08-28T19:50:20.196519Z,completed,1.0,True,pass,cancel-async-tasks__DU89yx3,traces/cancel-async-tasks__WdVfKdX,,
chess-best-move,1,chess-best-move__3xDipdS,2026-08-27T06:35:33.841116Z,2026-08-27T07:17:14.067680Z,completed,1.0,True,pass,,traces/chess-best-move__3xDipdS,,
chess-best-move,2,chess-best-move__RaadjXK,2026-08-29T05:04:48.993678Z,2026-08-29T05:52:39.999377Z,completed,0.0,True,model_fail,chess-best-move__3xDipdS,traces/chess-best-move__RaadjXK,,
circuit-fibsqrt,1,circuit-fibsqrt__jYAGcVc,2026-08-26T05:24:26.781695Z,2026-08-26T06:01:46.229939Z,completed,1.0,True,pass,,traces/circuit-fibsqrt__jYAGcVc,,
circuit-fibsqrt,2,circuit-fibsqrt__hyugYiC,2026-08-28T01:23:27.494869Z,2026-08-28T02:48:08.305436Z,completed,0.0,True,model_fail,circuit-fibsqrt__jYAGcVc,traces/circuit-fibsqrt__hyugYiC,,
cobol-modernization,1,cobol-modernization__CgcAir9,2026-08-26T06:35:03.291876Z,2026-08-26T07:09:11.085102Z,completed,1.0,True,pass,,traces/cobol-modernization__CgcAir9,,
cobol-modernization,2,cobol-modernization__qSgPK6b,2026-08-28T03:18:08.588062Z,2026-08-28T03:53:00.669892Z,completed,1.0,True,pass,cobol-modernization__CgcAir9,traces/cobol-modernization__qSgPK6b,,
code-from-image,1,code-from-image__KJ4bg5W,2026-08-27T11:26:45.387205Z,2026-08-27T11:34:14.147554Z,completed,1.0,True,pass,,traces/code-from-image__KJ4bg5W,,
code-from-image,2,code-from-image__AQSVmdF,2026-08-29T08:49:59.333889Z,2026-08-29T08:53:06.154430Z,completed,1.0,True,pass,code-from-image__KJ4bg5W,traces/code-from-image__AQSVmdF,,
compile-compcert,1,compile-compcert__Arzj6MH,2026-08-26T15:21:28.850814Z,2026-08-26T15:40:57.859314Z,completed,1.0,True,pass,,traces/compile-compcert__Arzj6MH,,
compile-compcert,2,compile-compcert__RNfiHum,2026-08-28T11:29:42.955062Z,2026-08-28T12:02:00.971752Z,completed,1.0,True,pass,compile-compcert__Arzj6MH,traces/compile-compcert__RNfiHum,,
configure-git-webserver,1,configure-git-webserver__oHa5DMs,2026-08-26T12:23:31.036883Z,2026-08-26T12:26:25.176892Z,completed,0.0,True,model_fail,,traces/configure-git-webserver__oHa5DMs,,
configure-git-webserver,2,configure-git-webserver__FyRbMu7,2026-08-28T08:11:32.444082Z,2026-08-28T08:19:23.323293Z,completed,1.0,True,pass,configure-git-webserver__oHa5DMs,traces/configure-git-webserver__FyRbMu7,,
constraints-scheduling,1,constraints-scheduling__ZBCxJdU,2026-08-27T14:40:57.726079Z,2026-08-27T14:48:22.524567Z,completed,1.0,True,pass,,traces/constraints-scheduling__ZBCxJdU,,
constraints-scheduling,2,constraints-scheduling__sRDGMvA,2026-08-29T11:56:21.702341Z,2026-08-29T12:02:17.409044Z,completed,1.0,True,pass,constraints-scheduling__ZBCxJdU,traces/constraints-scheduling__sRDGMvA,,
count-dataset-tokens,1,count-dataset-tokens__jxLb4Qu,2026-08-27T03:32:26.877709Z,2026-08-27T03:43:03.558350Z,completed,1.0,True,pass,,traces/count-dataset-tokens__jxLb4Qu,,
count-dataset-tokens,2,count-dataset-tokens__ZR5kvAd,2026-08-29T02:02:21.810349Z,2026-08-29T02:21:39.798329Z,completed,1.0,True,pass,count-dataset-tokens__jxLb4Qu,traces/count-dataset-tokens__ZR5kvAd,,
crack-7z-hash,1,crack-7z-hash__TWEpNCd,2026-08-27T09:45:19.173655Z,2026-08-27T09:52:30.893969Z,completed,1.0,True,pass,,traces/crack-7z-hash__TWEpNCd,,
crack-7z-hash,2,crack-7z-hash__SnBGoZr,2026-08-29T07:33:17.772230Z,2026-08-29T07:38:22.100733Z,completed,1.0,True,pass,crack-7z-hash__TWEpNCd,traces/crack-7z-hash__SnBGoZr,,
custom-memory-heap-crash,1,custom-memory-heap-crash__bWNXEcg,2026-08-27T11:15:46.976719Z,2026-08-27T11:26:45.140135Z,completed,1.0,True,pass,,traces/custom-memory-heap-crash__bWNXEcg,,
custom-memory-heap-crash,2,custom-memory-heap-crash__imDMNQz,2026-08-29T08:35:13.424791Z,2026-08-29T08:49:59.132266Z,completed,1.0,True,pass,custom-memory-heap-crash__bWNXEcg,traces/custom-memory-heap-crash__imDMNQz,,
db-wal-recovery,1,db-wal-recovery__QDDY4G6,2026-08-27T01:19:28.717174Z,2026-08-27T02:00:18.881027Z,completed,0.0,True,model_fail,,traces/db-wal-recovery__QDDY4G6,,
db-wal-recovery,2,db-wal-recovery__dfeZJ8W,2026-08-29T00:05:17.775162Z,2026-08-29T00:53:20.324500Z,completed,0.0,True,model_fail,db-wal-recovery__QDDY4G6,traces/db-wal-recovery__dfeZJ8W,,
distribution-search,1,distribution-search__BG3pe7K,2026-08-27T12:15:55.186147Z,2026-08-27T12:27:42.444615Z,completed,1.0,True,pass,,traces/distribution-search__BG3pe7K,,
distribution-search,2,distribution-search__SCwLgKo,2026-08-29T09:19:39.841863Z,2026-08-29T09:29:46.816783Z,completed,1.0,True,pass,distribution-search__BG3pe7K,traces/distribution-search__SCwLgKo,,
dna-assembly,1,dna-assembly__xQe4sLr,2026-08-25T21:18:31.692447Z,2026-08-25T22:09:48.900237Z,completed,0.0,True,model_fail,,traces/dna-assembly__xQe4sLr,,
dna-assembly,2,dna-assembly__iBDrkU5,2026-08-27T17:15:46.977071Z,2026-08-27T18:14:20.441701Z,completed,0.0,True,model_fail,dna-assembly__xQe4sLr,traces/dna-assembly__iBDrkU5,,
dna-insert,1,dna-insert__iJZbpNz,2026-08-26T16:59:27.706128Z,2026-08-26T17:36:27.742195Z,completed,0.0,True,model_fail,,traces/dna-insert__iJZbpNz,,
dna-insert,2,dna-insert__Wqkom3k,2026-08-28T13:08:25.937740Z,2026-08-28T13:31:29.691088Z,completed,0.0,True,model_fail,dna-insert__iJZbpNz,traces/dna-insert__Wqkom3k,,
extract-elf,1,extract-elf__fdHxbg2,2026-08-26T10:56:48.556125Z,2026-08-26T11:33:02.765391Z,completed,1.0,True,pass,,traces/extract-elf__fdHxbg2,,
extract-elf,2,extract-elf__PTUfDGU,2026-08-28T07:02:00.205903Z,2026-08-28T07:32:03.468792Z,completed,1.0,True,pass,extract-elf__fdHxbg2,traces/extract-elf__PTUfDGU,,
extract-moves-from-video,1,extract-moves-from-video__jPvYEja,2026-08-27T03:43:03.823694Z,2026-08-27T04:59:56.117902Z,completed,0.0,True,model_fail,,traces/extract-moves-from-video__jPvYEja,,
extract-moves-from-video,2,extract-moves-from-video__82sW7dh,2026-08-29T02:21:40.002277Z,2026-08-29T03:29:07.996536Z,completed,0.0,True,model_fail,extract-moves-from-video__jPvYEja,traces/extract-moves-from-video__82sW7dh,,
feal-differential-cryptanalysis,1,feal-differential-cryptanalysis__ocjwBpp,2026-08-26T20:56:37.124713Z,2026-08-26T21:15:43.968515Z,completed,1.0,True,pass,,traces/feal-differential-cryptanalysis__ocjwBpp,,
feal-differential-cryptanalysis,2,feal-differential-cryptanalysis__DgzsSf5,2026-08-28T17:04:14.847616Z,2026-08-28T17:16:26.176975Z,completed,1.0,True,pass,feal-differential-cryptanalysis__ocjwBpp,traces/feal-differential-cryptanalysis__DgzsSf5,,
feal-linear-cryptanalysis,1,feal-linear-cryptanalysis__hR7rLqa,2026-08-27T08:10:52.342978Z,2026-08-27T09:45:18.977822Z,completed,1.0,True,pass,,traces/feal-linear-cryptanalysis__hR7rLqa,,
feal-linear-cryptanalysis,2,feal-linear-cryptanalysis__vSsesbx,2026-08-29T06:50:28.771887Z,2026-08-29T07:33:17.635624Z,completed,1.0,True,pass,feal-linear-cryptanalysis__hR7rLqa,traces/feal-linear-cryptanalysis__vSsesbx,,
filter-js-from-html,1,filter-js-from-html__R2qkYsk,2026-08-26T08:29:13.494616Z,2026-08-26T08:51:04.371308Z,completed,0.0,True,model_fail,,traces/filter-js-from-html__R2qkYsk,,
filter-js-from-html,2,filter-js-from-html__ypdF4Uk,2026-08-28T05:01:38.834908Z,2026-08-28T05:43:43.378063Z,completed,0.0,True,model_fail,filter-js-from-html__R2qkYsk,traces/filter-js-from-html__ypdF4Uk,,
