count 162029
0 -0.008 0.343
768 0.005 0.183
1536 0.001 0.048
2304 -0.017 0.249
3072 -0.002 0.216
3840 -0.004 0.068
4608 0.008 0.246
5376 -0.01 0.216
6144 -0.0 0.056
6912 -0.002 0.226
7680 0.0 0.209
8448 0.001 0.06
9216 -0.01 0.235
9984 -0.002 0.24
10752 -0.0 0.056
11520 0.007 0.231
12288 0.003 0.218
13056 0.003 0.061
13824 0.004 0.225
14592 0.002 0.201
15360 -0.001 0.058
16128 0.009 0.201
16896 -0.013 0.357
17664 0.003 0.06
18432 0.008 0.239
19200 -0.003 0.209
19968 -0.003 0.06
20736 0.005 0.243
21504 -0.015 0.229
22272 0.001 0.064
23040 0.007 0.239
23808 -0.004 0.236
24576 -0.0 0.053
25344 -0.02 0.234
26112 -0.001 0.209
26880 -0.0 0.062
27648 0.004 0.261
28416 -0.008 0.246
29184 0.0 0.054
29952 -0.015 0.249
30720 -0.01 0.235
31488 0.001 0.056
32256 -0.012 0.249
33024 0.01 0.257
33792 0.002 0.055
34560 0.006 0.236
35328 -0.004 0.187
36096 0.002 0.058
36864 0.008 0.242
37632 0.004 0.221
38400 0.003 0.059
39168 -0.006 0.248
39936 0.0 0.186
40704 0.002 0.061
41472 0.008 0.232
42240 -0.0 0.219
43008 0.0 0.054
43776 0.002 0.24
44544 -0.004 0.205
45312 -0.004 0.059
46080 -0.004 0.234
46848 -0.007 0.294
47616 0.005 0.052
48384 -0.006 0.226
49152 -0.001 0.238
49920 -0.002 0.062
50688 -0.005 0.265
51456 0.002 0.248
52224 -0.001 0.06
52992 -0.009 0.224
53760 0.003 0.22
54528 0.004 0.056
55296 -0.0 0.257
56064 0.003 0.197
56832 -0.003 0.055
57600 0.013 0.257
58368 0.008 0.237
59136 0.0 0.061
59904 -0.004 0.217
60672 -0.002 0.212
61440 0.003 0.055
62208 -0.002 0.234
62976 0.004 0.199
63744 -0.001 0.062
64512 -0.014 0.242
65280 -0.007 0.247
66048 -0.002 0.057
66816 0.002 0.227
67584 0.0 0.229
68352 0.003 0.057
69120 0.008 0.258
69888 0.003 0.234
70656 0.0 0.059
71424 -0.003 0.242
72192 -0.011 0.26
72960 -0.0 0.057
73728 0.0 0.247
74496 -0.001 0.209
75264 -0.001 0.055
76032 -0.007 0.246
76800 0.018 0.244
77568 -0.004 0.057
78336 -0.004 0.231
79104 -0.013 0.214
79872 0.0 0.064
80640 -0.005 0.255
81408 0.006 0.233
82176 0.004 0.066
82944 -0.002 0.25
83712 -0.002 0.222
84480 -0.002 0.057
85248 0.008 0.22
86016 0.015 0.406
86784 -0.0 0.04
87552 -0.014 0.233
88320 -0.004 0.243
89088 -0.002 0.059
89856 0.006 0.231
90624 0.008 0.244
91392 0.003 0.058
92160 -0.005 0.227
92928 -0.005 0.189
93696 -0.0 0.062
94464 0.006 0.248
95232 0.005 0.246
96000 -0.0 0.056
96768 0.005 0.233
97536 -0.007 0.232
98304 0.001 0.062
99072 -0.005 0.241
99840 -0.004 0.253
100608 -0.001 0.057
101376 -0.003 0.227
102144 -0.012 0.226
102912 0.001 0.056
103680 -0.003 0.23
104448 0.009 0.191
105216 0.001 0.062
105984 -0.007 0.251
106752 -0.002 0.262
107520 0.002 0.056
108288 -0.009 0.245
109056 0.013 0.236
109824 0.001 0.056
110592 0.002 0.242
111360 -0.006 0.25
112128 0.001 0.056
112896 0.005 0.24
113664 0.007 0.217
114432 0.003 0.061
115200 0.01 0.216
115968 -0.021 0.377
116736 -0.002 0.05
117504 0.011 0.253
118272 0.004 0.24
119040 -0.004 0.06
119808 -0.008 0.217
120576 -0.002 0.2
121344 0.002 0.058
122112 -0.007 0.223
122880 0.011 0.299
123648 -0.001 0.058
124416 -0.003 0.244
125184 -0.005 0.233
125952 -0.004 0.06
126720 -0.008 0.247
127488 -0.015 0.222
128256 0.004 0.067
129024 -0.006 0.249
129792 -0.002 0.222
130560 -0.003 0.062
131328 0.006 0.242
132096 -0.003 0.227
132864 -0.002 0.06
133632 0.004 0.26
134400 -0.004 0.213
135168 -0.005 0.063
135936 -0.004 0.247
136704 -0.019 0.256
137472 -0.003 0.059
138240 0.001 0.239
139008 0.001 0.192
139776 -0.001 0.063
140544 0.024 0.254
141312 0.004 0.212
142080 0.0 0.065
142848 -0.015 0.246
143616 0.004 0.236
144384 -0.005 0.056
145152 0.009 0.256
145920 0.0 0.212
146688 -0.004 0.059
147456 -0.003 0.231
148224 -0.004 0.206
148992 0.0 0.055
149760 -0.003 0.128
