num points in [1100,3000]: 2117
x range: 1648.724404 2998.600328
y range: 40.090842 6474.278695

Local maxima between 1100 and 3000:
x=1649.246  y=6009.428
x=1650.291  y=6157.269
x=1651.077  y=6302.951
x=1652.389  y=6285.425
x=1652.914  y=6214.278
x=1654.760  y=6356.867
x=1655.288  y=6325.166
x=1656.083  y=6410.160
x=1657.675  y=6086.868
x=1658.473  y=6013.730
x=1659.540  y=6274.791
x=1660.074  y=6474.279
x=1660.876  y=6152.581
x=1661.412  y=6017.724
x=1661.948  y=6015.208
x=1663.830  y=6043.793
x=1665.180  y=6020.070
x=1666.804  y=6228.422
x=1668.434  y=5756.211
x=1668.978  y=5614.961
x=1669.523  y=5543.753
x=1670.342  y=5924.203
x=1671.163  y=5986.906
x=1671.711  y=5963.136
x=1672.259  y=6002.173
x=1673.358  y=6135.358
x=1673.908  y=5788.409
x=1675.011  y=5918.601
x=1675.840  y=5729.220
x=1676.393  y=5751.246
x=1677.224  y=5965.266
x=1678.613  y=5767.389
x=1679.448  y=5748.371
x=1680.564  y=5646.356
x=1681.122  y=5727.328
x=1681.962  y=5876.152
x=1682.803  y=5839.851
x=1683.646  y=5942.170
x=1684.490  y=5703.483
x=1685.618  y=5678.356
x=1686.182  y=5799.242
x=1687.031  y=5640.181
x=1687.881  y=5783.276
x=1688.449  y=5772.783
x=1689.017  y=5623.644
x=1689.871  y=5619.423
x=1690.726  y=5649.196
x=1691.297  y=5331.884
x=1691.869  y=5330.875
x=1692.441  y=5532.760
x=1693.014  y=5548.966
x=1693.588  y=5584.857
x=1694.162  y=5473.524
x=1695.601  y=5659.823
x=1696.467  y=5540.465
x=1697.045  y=5524.382
x=1698.493  y=5587.343
x=1700.527  y=5421.014
x=1701.985  y=5531.564
x=1702.570  y=5256.539
x=1703.741  y=5587.297
x=1704.328  y=5339.619
x=1705.209  y=5246.662
x=1705.798  y=5167.690
x=1707.272  y=5498.466
x=1707.863  y=5304.224
x=1708.455  y=5465.054
x=1710.531  y=5186.464
x=1711.126  y=5087.818
x=1712.020  y=5122.350
x=1712.617  y=5113.496
x=1713.513  y=5322.275
x=1714.411  y=5109.196
x=1715.611  y=5030.769
x=1716.212  y=5140.041
x=1717.718  y=5085.087
x=1718.322  y=5180.738
x=1719.229  y=5152.687
x=1720.138  y=5094.308
x=1720.745  y=5231.982
x=1721.352  y=5051.033
x=1722.265  y=4945.464
x=1722.874  y=4990.224
x=1724.095  y=4858.104
x=1725.012  y=5040.110
x=1725.625  y=5206.336
x=1726.546  y=5060.499
x=1727.160  y=5331.081
x=1727.775  y=5034.442
x=1728.700  y=4759.668
x=1729.935  y=4990.821
x=1730.864  y=4962.708
x=1731.794  y=4918.338
x=1732.415  y=4962.975
x=1733.037  y=4890.221
x=1733.971  y=5015.447
x=1734.595  y=4971.221
x=1735.532  y=4952.284
x=1736.158  y=4852.915
x=1737.412  y=4957.078
x=1738.354  y=5016.029
x=1739.613  y=4875.766
x=1740.560  y=4753.719
x=1741.192  y=4951.323
x=1741.825  y=4905.837
x=1742.775  y=4648.661
x=1743.728  y=4625.033
x=1744.682  y=4660.377
x=1745.957  y=4850.698
x=1747.236  y=4679.247
x=1747.876  y=4741.109
x=1749.159  y=4617.459
x=1749.802  y=4787.188
x=1751.090  y=4586.162
x=1751.736  y=4730.602
x=1753.028  y=4740.430
x=1754.000  y=4604.110
x=1754.974  y=4816.156
x=1755.624  y=4597.621
x=1756.927  y=4519.737
x=1757.580  y=4537.602
