0 blue 20881 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
0 red 4134 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 523
1 blue 20888 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
1 red 4109 (np.int64(152), np.int64(18), np.int64(959), np.int64(525)) ncol 529
2 blue 20863 (np.int64(0), np.int64(0), np.int64(813), np.int64(483))
2 red 4058 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 539
3 blue 20874 (np.int64(0), np.int64(0), np.int64(813), np.int64(483))
3 red 4014 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 525
4 blue 20867 (np.int64(0), np.int64(0), np.int64(813), np.int64(483))
4 red 3998 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 527
5 blue 20940 (np.int64(0), np.int64(0), np.int64(813), np.int64(483))
5 red 3487 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 422
6 blue 20926 (np.int64(0), np.int64(0), np.int64(813), np.int64(483))
6 red 3464 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 412
7 blue 20913 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
7 red 3474 (np.int64(154), np.int64(18), np.int64(959), np.int64(525)) ncol 422
8 blue 20925 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
8 red 3454 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 422
9 blue 20929 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
9 red 3441 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 416
10 blue 20937 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
10 red 3440 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 418
11 blue 20940 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
11 red 3443 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 409
12 blue 20936 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
12 red 3504 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 408
13 blue 20947 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
13 red 3516 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 410
14 blue 20936 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
14 red 3514 (np.int64(152), np.int64(18), np.int64(959), np.int64(527)) ncol 412
15 blue 20981 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
15 red 3511 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 421
16 blue 20985 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
16 red 3493 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 421
17 blue 20980 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
17 red 3475 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 407
18 blue 20948 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
18 red 3472 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 407
19 blue 20964 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
19 red 3484 (np.int64(154), np.int64(18), np.int64(959), np.int64(527)) ncol 415
20 blue 20950 (np.int64(0), np.int64(0), np.int64(951), np.int64(483))
